name,age,alias,ability,Power,Category
Spider-Man,25,Peter Parker,Wall-crawling,8,Nature
Iron Man,40,Tony Stark,Genius-level intellect,9,Tech
Captain America,100,Steve Rogers,Peak human strength,7,Nature
Thor,1500,Thor Odinson,Superhuman strength,9,Nature
Black Widow,35,Natasha Romanoff,Expert martial artist,8,Nature
Hulk,45,Bruce Banner,Superhuman strength,7,Nature
Black Panther,35,T'Challa,Enhanced strength,9,Nature
Captain Marvel,35,Carol Danvers,Flight,8,Nature
Doctor Strange,45,Stephen Strange,Mastery of mystic arts,7,Magic
Wolverine,150,James Howlett,Regenerative healing factor,7,Nature
Storm,35,Ororo Munroe,Control over weather,7,Nature
Groot,50,Groot,Regeneration,6,Nature
Star-Lord,40,Peter Quill,Skilled marksman,6,Tech
Drax the Destroyer,50,Drax,Superhuman strength,7,Nature
Rocket,10,Rocket Raccoon,Genius-level intellect,5,Tech
Gamora,35,Gamora,Enhanced strength,8,Nature
Scarlet Witch,30,Wanda Maximoff,Reality manipulation,9,Magic
Vision,10,Vision,Synthezoid physiology,8,Tech
Hawkeye,45,Clint Barton,Master archer,6,Nature
Falcon,40,Sam Wilson,Winged flight,4,Tech
